UserId,TransactionId,TransactionTime,TransactionDay,TransactionHours,ItemCode,ItemDescription,NumberOfItemsPurchased,Country
260715,6035271,Wed Jun 13 10:28:00 IST 2018,Wed,1899-12-30 10:28:00,-1,POSTAGE,3,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,315756,ASSORTED COLOURS SILK FAN,1800,Australia
261051,6095386,Sat Aug 04 05:14:00 IST 2018,Sat,1899-12-30 05:14:00,316176,EDWARDIAN PARASOL BLACK,9,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,339381,WRAP ENGLISH ROSE,1200,Australia
261051,6266942,Tue Dec 18 05:31:00 IST 2018,Tue,1899-12-30 05:31:00,339549,WRAP 50'S  CHRISTMAS,75,Australia
261114,6024249,Tue Jun 05 09:05:00 IST 2018,Tue,1899-12-30 09:05:00,433965,RED RETROSPOT PURSE,18,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,434175,BLUE POLKADOT BOWL,216,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,434175,BLUE POLKADOT BOWL,432,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,434196,RED RETROSPOT BOWL,216,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,434196,RED RETROSPOT BOWL,432,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,434217,PINK POLKADOT BOWL,216,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,434217,PINK POLKADOT BOWL,432,Australia
261051,5933609,Wed Feb 28 10:10:00 IST 2018,Wed,1899-12-30 10:10:00,434385,DOORMAT RED RETROSPOT,12,Australia
261051,6165203,Sun Sep 30 06:42:00 IST 2018,Sun,1899-12-30 06:42:00,434385,DOORMAT RED RETROSPOT,18,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,434385,DOORMAT RED RETROSPOT,60,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,434385,DOORMAT RED RETROSPOT,60,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,434931,JUMBO BAG TOYS,300,Australia
260862,5956720,Mon Apr 02 05:13:00 IST 2018,Mon,1899-12-30 05:13:00,434952,JUMBO BAG WOODLAND ANIMALS,30,Australia
261051,6266942,Tue Dec 18 05:31:00 IST 2018,Tue,1899-12-30 05:31:00,434952,JUMBO BAG WOODLAND ANIMALS,30,Australia
261051,6266953,Tue Dec 18 05:32:00 IST 2018,Tue,1899-12-30 05:32:00,434952,JUMBO BAG WOODLAND ANIMALS,30,Australia
260862,5956720,Mon Apr 02 05:13:00 IST 2018,Mon,1899-12-30 05:13:00,434973,JUMBO BAG OWLS,30,Australia
260862,5956720,Mon Apr 02 05:13:00 IST 2018,Mon,1899-12-30 05:13:00,435057,STRAWBERRY SHOPPER BAG,30,Australia
260715,6165401,Sun Sep 30 06:51:00 IST 2018,Sun,1899-12-30 06:51:00,435225,LUNCH BAG RED RETROSPOT,3,Australia
260253,6255788,Mon Dec 10 11:41:00 IST 2018,Mon,1899-12-30 11:41:00,435225,LUNCH BAG RED RETROSPOT,30,Australia
261051,5933609,Wed Feb 28 10:10:00 IST 2018,Wed,1899-12-30 10:10:00,435225,LUNCH BAG RED RETROSPOT,30,Australia
261051,6194969,Wed Oct 24 10:19:00 IST 2018,Wed,1899-12-30 10:19:00,435225,LUNCH BAG RED RETROSPOT,30,Australia
261051,6165203,Sun Sep 30 06:42:00 IST 2018,Sun,1899-12-30 06:42:00,435225,LUNCH BAG RED RETROSPOT,60,Australia
260253,6042443,Wed Jun 20 05:45:00 IST 2018,Wed,1899-12-30 05:45:00,435225,LUNCH BAG RED RETROSPOT,90,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,435225,LUNCH BAG RED RETROSPOT,300,Australia
260715,6340334,Sun Jan 27 06:32:00 IST 2019,Sun,1899-12-30 06:32:00,435225,LUNCH BAG RED RETROSPOT,300,Australia
260253,6042443,Wed Jun 20 05:45:00 IST 2018,Wed,1899-12-30 05:45:00,435246,LUNCH BAG WOODLAND,30,Australia
261051,6194969,Wed Oct 24 10:19:00 IST 2018,Wed,1899-12-30 10:19:00,435246,LUNCH BAG WOODLAND,30,Australia
260253,5947700,Sun Mar 25 05:47:00 IST 2018,Sun,1899-12-30 05:47:00,435246,LUNCH BAG WOODLAND,60,Australia
260253,6255788,Mon Dec 10 11:41:00 IST 2018,Mon,1899-12-30 11:41:00,435246,LUNCH BAG WOODLAND,90,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,435246,LUNCH BAG WOODLAND,300,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,435246,LUNCH BAG WOODLAND,300,Australia
260862,5956720,Mon Apr 02 05:13:00 IST 2018,Mon,1899-12-30 05:13:00,435267,LUNCH BAG  BLACK SKULL.,30,Australia
260253,6042443,Wed Jun 20 05:45:00 IST 2018,Wed,1899-12-30 05:45:00,435267,LUNCH BAG  BLACK SKULL.,30,Australia
260253,5947700,Sun Mar 25 05:47:00 IST 2018,Sun,1899-12-30 05:47:00,435267,LUNCH BAG  BLACK SKULL.,60,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,435267,LUNCH BAG  BLACK SKULL.,300,Australia
260862,5956720,Mon Apr 02 05:13:00 IST 2018,Mon,1899-12-30 05:13:00,435288,LUNCH BAG CARS BLUE,30,Australia
260253,6255788,Mon Dec 10 11:41:00 IST 2018,Mon,1899-12-30 11:41:00,435288,LUNCH BAG CARS BLUE,60,Australia
260253,5947700,Sun Mar 25 05:47:00 IST 2018,Sun,1899-12-30 05:47:00,435288,LUNCH BAG CARS BLUE,60,Australia
261114,6024249,Tue Jun 05 09:05:00 IST 2018,Tue,1899-12-30 09:05:00,435729,ASSORTED COLOUR MINI CASES,6,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,435729,ASSORTED COLOUR MINI CASES,6,Australia
261114,6024249,Tue Jun 05 09:05:00 IST 2018,Tue,1899-12-30 09:05:00,435750,RED RETROSPOT MINI CASES,6,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,435750,RED RETROSPOT MINI CASES,6,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,437577,FRENCH FLORAL CUSHION COVER,36,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,437598,FRENCH LATTICE CUSHION COVER,36,Australia
